artists_name,track_name,release_date,genre,lyrics
Bob Dylan,Murder Most Foul,2006,folk,"Murder Most Foul LyricsVerse 1Twas a dark day in Dallas, November 63A day that will live on in infamyPresident Kennedy was a-ridin highGood day to be livin and a good day to dieBeing led to the slaughter like a sacrificial lambHe said, ""Wait a minute, boys, you know who I am?""""Of course we do, we know who you are""Then they blew off his head while he was still in the carShot down like a dog in broa"
The Longest Johns,Wellerman,2006,folk,"Wellerman LyricsVerse 1There once was a ship that put to seaAnd the name of that ship was the Billy o TeaThe winds blew hard, her bow dipped downBlow, me bully boys, blow Hah!ChorusSoon may the Wellerman comeTo bring us sugar and tea and rumOne day, when the tonguin is doneWell take our leave and goVerse 2She had not been two weeks from shoreWhen down on her, a right whale boreThe captain called a"
The Beatles,Across the Universe,2001,folk,"Across the Universe LyricsVerse 1Words are flowing out like endless rain into a paper cupThey slither wildly as they slip away across the universePools of sorrow, waves of joy are drifting through my opened mindPossessing and caressing meChorusJai Guru Deva, OmNothings gonna change my worldNothings gonna change my worldNothings gonna change my worldNothings gonna change my worldVerse 2Images of br"
One Direction,Little Things,2001,folk,"Little Things LyricsVerse 1 Zayn & Liam & BothYour hand fits in mine like its made just for meBut bear this in mind It was meant to beAnd Im joining up the dots with the freckles on your cheeksAnd it all makes sense to meI know youve never loved the crinkles by your eyesWhen you smile, youve never loved your stomach or your thighsThe dimples in your back at the bottom of your spineBut Ill love the"
The Dead South,In Hell I'll Be in Good Company,2010,folk,"In Hell I’ll Be in Good Company LyricsVerse 1Dead Love couldnt go no furtherProud of and disgusted by herPush shove, a little bruised and batteredOh Lord I aint coming home with youMy lifes a bit more colderDamned wife is what I told herBrass knife sinks into my shoulderOh babe dont know what Im gonna doChorusI see my red head, messed bed, tear shed, queen beeMy squeezeThe stage it smells, tells, "
Nirvana,Where Did You Sleep Last Night?,2006,folk,"Where Did You Sleep Last Night? LyricsIntroKurt Cobain Fuck you all, this is the last song of the eveningDave Grohl What is it?Kurt Cobain This was written by what? my favorite performer. Our favorite perfomer, isnt it? All of ours? You like him the best?Krist Novoselic Oh and heres a donation basket for one supply of Leadbellys guitarKurt Cobain Oh yeah, this guy representing the Leadbellys estat"
Bob Dylan,Blowin' in the Wind,2009,folk,"Blowin’ in the Wind LyricsVerse 1How many roads must a man walk downBefore you call him a man?How many seas must the white dove sailBefore she sleeps in the sand?Yes, and how many times must the cannonballs flyBefore theyre forever banned?RefrainThe answer, my friend, is blowin in the windThe answer is blowin in the windVerse 2Yes, and how many years can a mountain existFore it is washed to the se"
James Newton Howard,The Hanging Tree,2008,folk,"The Hanging Tree LyricsVerse 1Are you, are you coming to the tree?Where they strung up a manThey say who murdered threeRefrainStrange things did happen hereNo stranger would it beIf we met at midnight in the hanging treeVerse 2Are you, are you coming to the tree?Where a dead man called out for his love to fleeRefrainStrange things did happen hereNo stranger would it beIf we met at midnight in the "
The 1975,Be My Mistake,2004,folk,"Be My Mistake LyricsVerse 1And be my mistakeThen turn out the lightShe bought me those jeansThe ones you likeI dont want to hugI just want to sleepThe smell of your hairReminds me of her feetPre ChorusSo, dont wait outside my hotel roomJust wait till I give you a signCause I get lonesome sometimesChorusSave all the jokes youre going to makeWhilst I see how much drink I can takeThen be my mistakeVe"
Dexys Midnight Runners,Come On Eileen,2009,folk,"Come On Eileen LyricsFiddle TuneIntroCome on Eileen!Come on Eileen!Verse 1Poor old Johnnie RaySounded sad upon the radioMoved a million hearts in monoOur mothers criedSang along, whod blame them?Youve grown You’re grown up!So grown So grown up!Now I must say more than everCome on EileenToo-ra-loo-ra, too-ra-loo-rye, ayAnd we can sing just like our fathersChorusCome on EileenOh, I swear What he mea"
Bo Burnham,That Funny Feeling,2007,folk,"That Funny Feeling LyricsIntroI cant really, uh, play the guitar very wellUm, or sing, so, you know, apologiesVerse 1Stunning 8K resolution meditation appIn honor of the revolution, its half-off at the GapDeadpools self-awareness, loving parents, harmless funThe backlash to the backlash to the thing thats just begunChorusThere it is againThat funny feelingThat funny feelingThere it is againThat fu"
Taylor Swift,​marjorie,2001,folk,"​marjorie LyricsVerse 1Never be so kindYou forget to be cleverNever be so cleverYou forget to be kindPre-ChorusAnd if I didnt know betterId think you were talking to me nowIf I didnt know betterId think you were still aroundChorusWhat died didnt stay deadWhat died didnt stay deadYoure alive, youre alive in my headWhat died didnt stay deadWhat died didnt stay deadYoure alive, so aliveVerse 2Never b"
Sufjan Stevens,Fourth of July,2007,folk,"Fourth of July LyricsVerse 1The evil, it spread like a fever aheadIt was night when you died, my fireflyWhat could I have said to raise you from the dead?Oh, could I be the sky on the Fourth of July?Chorus 1""Well, you do enough talkMy little hawk, why do you cry?Tell me, what did you learn from the Tillamook burn?Or the Fourth of July?We’re all gonna die""Verse 2Sitting at the bed with the halo at "
Karen O,The Moon Song,2004,folk,"The Moon Song LyricsIm lying on the moonMy dear, Ill be there soonIts a quiet and starry placeTimes were swallowed upIn space were here a million miles awayTheres things I wish I knewTheres no thing Id keep from youIts a dark and shiny placeBut with you my dearIm safe and were a million miles awayWe’re lying on the moonIt’s a perfect afternoonYour shadow follows me all dayMaking sure that ImOkay a"
Taylor Swift,​closure,2007,folk,"​closure LyricsVerse 1Its been a long timeAnd seeing the shape of your nameStill spells out painIt wasnt rightThe way it all went downLooks like you know that nowChorusYes, I got your letterYes, Im doing betterIt cut deep to know ya, right to the boneYes, I got your letterYes, Im doing betterI know that its over, I dont need yourClosure, your closureVerse 2Dont treat me likeSome situation that nee"
Taylor Swift,Nothing New (Taylor's Version) [From the Vault],2001,folk,"Nothing New Taylor’s Version From the Vault LyricsVerse 1 Taylor SwiftThey tell you while youre young""Girls, go out and have your fun""Then they hunt and slay the ones who actually do itCriticize the way you flyWhen youre soaring through the skyShoot you down and then they sighAnd say, ""She looks like shes been through it""Lord, what will become of meOnce Ive lost my novelty?Chorus Taylor SwiftIve h"
Train,"Hey, Soul Sister",2003,folk,"Hey, Soul Sister LyricsIntroHeyHe-e-e-e-eyHe-e-e-e-eyVerse 1Your lipstick stainsOn the front lobe of my left-side brainsI knew I wouldnt forget youAnd so I went and let you blow my mindYour sweet moonbeamThe smell of you in every single dream I dreamI knew when we collidedYoure the one I have decided whos one of my kindChorusHey, soul sisterAint that Mr. Mister on the radio, stereo?The way you mov"
Fiersa Besari,Celengan Rindu,2006,folk,Celengan Rindu LyricsVerse 1Aku kesal dengan jarak yang sering memisahkan kitaHingga aku hanya bisa berbincang denganmu di WhatsappAku kesal dengan waktu yang tak pernah berhenti bergerakBarang sejenak agar aku bisa menikmati tawamuPre-ChorusInginku berdiri di sebelahmu menggenggam erat jari-jarimuMendengarkan lagu Sheila on 7 seperti waktu ituSaat kau di sisikuChorusDan tunggulah aku di sana meme
Bob Dylan,The Times They Are A-Changin',2004,folk,"The Times They Are A-Changin’ LyricsCome gather round people, wherever you roamAnd admit that the waters around you have grownAnd accept it that soon youll be drenched to the boneIf your time to you is worth savingThen you better start swimmin or youll sink like a stoneFor the times, they are a-changinCome writers and critics who prophesize with your penAnd keep your eyes wide, the chance wont com"
"Crosby, Stills",Helplessly Hoping,2009,folk,"Helplessly Hoping LyricsVerse 1Helplessly hopingHer harlequin hovers nearbyAwaiting a wordGasping at glimpsesOf gentle true spiritHe runs, wishing he could flyOnly to trip at the sound of good-byeVerse 2Wordlessly watchingHe waits by the windowAnd wondersAt the empty place insideHeartlessly helping himself to her bad dreamsHe worriesDid he hear a good-bye? Or even hello?ChorusThey are one personTh"
Adventure Time,Island Song (Come Along with Me),2008,folk,Island Song Come Along with Me LyricsVerse 1Come along with meAnd the butterflies and beesWe can wander through the forestAnd do so as we pleaseCome along with meTo a cliff under a treeWhere we can gaze upon the waterAs an everlasting dreamChorusAll of my collectionsIll share them all with youMaybe by next summerWe wont have changed our tunesVerse 2Well still want to beWith the butterflies and bee
Hozier,Shrike,2008,folk,"Shrike LyricsVerse 1I couldnt utter my love when it countedAh, but Im singing like a bird bout it nowAnd I couldnt whisper when you needed it shoutedAh, but Im singing like a bird bout it nowChorusWords hung above, but never would formLike a cry at the final breath that is drawnRemember me, love, when Im rebornAs a shrike to your sharp and glorious thornVerse 2Id no idea on what ground I was found"
The Pogues,Fairytale of New York,2009,folk,"Fairytale of New York LyricsVerse 1 Shane MacGowanIt was Christmas Eve, babeIn the drunk tankAn old man said to me""Wont see another one""And then he sang a songThe Rare Old Mountain DewI turned my face awayAnd dreamed about youVerse 2 Shane MacGowanGot on a lucky oneCame in eighteen-to-oneIve got a feelingThis years for me and youSo, Happy ChristmasI love you, babyI can see a better timeWhen all ou"
Lorde,Stoned at the Nail Salon,2001,folk,"Stoned at the Nail Salon LyricsVerse 1Got a wishbone drying on the windowsill in my kitchenJust in case I wake up and realise Ive chosen wrongI love this life that I haveThe vine hanging over the doorAnd the dog who comes when I callBut I wonder sometimes what Im missingPre-ChorusWell, my hot bloods been burning for so many summers nowIts time to cool it down, wherever that leadsChorusCause all th"
