artist_name,track_name,release_date,genre,lyrics
Laura Marling,Rambling Man,2010,folk,"Well I am your rambling man, I'll walk across this land, Till I find the girl that I love, And I'll give her all my love, And I'll sing her pretty lies, And I'll take her by surprise, And I'll love her till she cries, But I am a rambling man. Well I am your rambling man, I'll walk across this land, Till I find the girl that I love, And I'll give her all my love, And I'll sing her pretty lies, And I'll take her by surprise, And I'll love her till she cries, But I am a rambling man. And I'll sing her pretty lies, And I'll take her by surprise, And I'll love her till she cries, But I am a rambling man. And I'll sing her pretty lies, And I'll take her by surprise, And I'll love her till she cries, But I am a rambling man. Well I am your rambling man, I'll walk across this land, Till I find the girl that I love, And I'll give her all my love, And I'll sing her pretty lies, And I'll take her by surprise, And I'll love her till she cries, But I am a rambling man. Well I am your rambling man, I'll walk across this land, Till I find the girl that I love, And I'll give her all my love, And I'll sing her pretty lies, And I'll take her by surprise, And I'll love her till she cries, But I am a rambling man."
The Lumineers,Ho Hey,2012,folk,"I've been trying to do it right, I've been living a lonely life, I've been sleeping here instead, I've been sleeping in my bed, So show me family, all the blood that I would bleed, I don't know where 1  you go but do you go at all?, Am I just a silly girl?, Is it dumb to feel like this?, Oh, oh, oh, oh, Oh, oh, oh, oh, I've been trying to do it right, I've been living a lonely life, I've been sleeping here instead, I've been sleeping in my bed, So show me family, all the blood that I would bleed, I don't know where 2  you go but do you go at all?, Am I just a silly girl?, Is it dumb to feel like this?, Oh, oh, oh, oh, Oh, oh, oh, oh, Ho!, Hey!"
Mumford & Sons,I Will Wait,2012,folk,"Well, I came home like a stone and I fell heavy into your loving arms; Now I don't wanna look them in the eye, I've been working so hard to avoid that for so long; Now I wanna cry and I wanna learn to love just like you; I wanna try and I wanna learn to love; I will wait, I will wait for you; And I would walk 500 miles and I would walk 500 more just to be at your door; When all is said and done, you'll walk right out into the sun; And I will wait, I will wait for you; And when all is said and done, you'll walk right out into the sun."
Hozier,Cherry Wine,2014,folk,"Her eyes and words are so icy, oh but she burns like rum on the fire, her clothes fall around her feet and she's laughin' like a child again, the world stops turnin', she's speakin' in tongues, movin' her body like it's the only one she's got, you are the finest thing yet to find, I don't know where I'm goin' but I know what I hope to find, oh, I think I've found it, I think I've found it, oh, I think I've found it, this is how it feels to be complete, the way she tells me I'm hers and she is mine, open my eyes and tell me I was dreaming, I was dreaming, oh, but she smells like sleep and lazy mornings, and never quite makes it to the shower, notes and melodies like butterflies, such tender days, the debit card and things you owe, you pick me up and take me home again, you are the sweetest thing that I know, could never get enough, I don't know where I'm goin' but I know what I hope to find, oh, I think I've found it, I think I've found it, oh, I think I've found it, this is how it feels to be complete."
First Aid Kit,Fireworks,2018,folk,"I get a kick out of the rain, how it washes everything away, makes way for something new, I get a kick out of the pain, how it sharpens every little thing, reminds me I'm still me, And I've been burning all my bridges down, watching them go up in smoke, higher and higher, Now there's nothing left to hold on to, no gentle hand to guide me home, I'm out here on my own, And I see fireworks from across the bay, they're beautiful but far away, like everything always seems to be these days, And I feel like a boat that's drifting out to sea, further and further from the shore, with no one there to rescue me, I used to think that I was strong, that I could make it on my own, but lately I'm not so sure, 'Cause the darkness gathers all around, and I can't seem to find my way, back to the light of day, And I see fireworks from across the bay, they're beautiful but far away, like everything always seems to be these days, And I feel like a boat that's drifting out to sea, further and further from the shore, with no one there to rescue me, Oh, the night is young and full of promise, but I'm just watching from a distance, wishing I was part of it all, And I see fireworks from across the bay, they're beautiful but far away, like everything always seems to be these days, And I feel like a boat that's drifting out to sea, further and further from the shore, with no one there to rescue me."
Gregory Alan Isakov,San Luis,2018,folk,"San Luis, you were good to me, the mountains high and the rivers wide, I will come back again, I will come back again. Oh, the train rolls by, and the wind blows free, and the sun shines down on you and me, I will come back again, I will come back again."
Brandi Carlile,The Joke,2018,folk,"Holding back tears while the sirens scream, every woman knows exactly what I mean; she was a riot, trying to hold it together, fighting with life and just barely getting through; but she learned to live with it, learned to love the rain, she could feel the healing coming; let 'em laugh while they can, let 'em spin, let 'em scatter in the wind; I have been to the movies, I've seen how it ends, and the joke's on 1  them; all of the underdogs in the world, a voice for the unloved ones, watching their ships come in; and they rise up, singing glory, glory, hallelujah, they rise up, singing glory, glory, amen; while they were laughing and dancing in the sand, and the world's still spinning 'round, he says, longer than there's been time; but she learned to live with it, learned to love the pain, she could feel the freedom coming; let 'em wonder what went wrong, let 'em whisper his name, then they'll be singing different someday; I have been to the movies, I've seen how it ends, and the joke's on them."
Phoebe Bridgers,Motion Sickness,2017,folk,"I have emotional motion sickness, somebody roll the windows down, There's no air in this car, I'm starting to choke up, And I don't know why I'm driving, I'm going nowhere, I didn't have a choice, But I didn't come this far to be this close to you, I'm going to see it through, I'm already sick of trying, If you'd have come to my show, you'd have seen a five-foot-nothing singer, With a bad case of the real big feelings, So I will try not to let it kill me, But thank you for the drugs, It really did me good, I'm feeling better now, I know you have to go, But I don't want you to, How about I drive? Oh, honey, I'm not afraid to die, I'm more afraid to fly, And the window's down and the AC's on, And I've got motion sickness, You made me feel like an idiot."
The Milk Carton Kids,Michigan,2013,folk,"Well I came to Michigan and it was cold and white, I came to Michigan in the middle of the night, I came to Michigan and the snow was on the ground, I came to Michigan but there was no one else around, I came to Michigan to see what I could see, I came to Michigan and Michigan saw me, I came to Michigan with winter in my bones, I came to Michigan and found that I was all alone, Oh Michigan, Oh Michigan, your lakes are cold and deep, Oh Michigan, Oh Michigan, you keep my love asleep, Well I came to Michigan and the trees were tall and bare, I came to Michigan but my love was not there, I came to Michigan with springtime in my heart, I came to Michigan but we were worlds apart, Oh Michigan, Oh Michigan, your winds blow through the trees, Oh Michigan, Oh Michigan, you took my love from me, Well I came to Michigan when summer days were long, I came to Michigan but my heart did not belong, I came to Michigan when autumn leaves did fall, I came to Michigan but I did not stay at all, Oh Michigan, Oh Michigan, your colors fade too soon, Oh Michigan, Oh Michigan, beneath your harvest moon."
Mandolin Orange,Wildfire,2016,folk,"Brave men fought with the battle cry Tears filled the eyes of their loved ones and their brothers in arms And so it went, for Joseph Warren It should have been different It could have been easy His rank could have saved him But a country unborn needs bravery And it spread like wildfire From the ashes grew sweet liberty Like the seeds of the pines when the forest burns They open up to grow and burn again It should have been different It could have been easy But too much money rolled in to ever end slavery The cry for war spread like wildfire Civil War came, Civil War went Brother fought the brother, the South was spent But its true demise was hatred passed down through the years It should have been different It could have been easy But pride has a way of holding too firm to history And it burns like wildfire I was a born a southern son In a small southern town where the rebels run wild They beat their chests and they swear we're going to rise again It should have been different It could have been easy The day that old Warren died hate should have gone with him But here we are caught in the wildfire"
The Oh Hellos,Hello My Old Heart,2012,folk,"Well hello my old heart, how you been? We've been spending some time apart, but now the season's coming in. And I hear the birds begin to sing, but they don't sound like anything. I've heard before, no they don't sound like anything I've heard before. Well hello my old heart, what's been wrong? You've been quiet since way too long, but now the silence feels too strong. And I feel the years begin to weigh, and I wonder what my friends would say. If they could see me now, yeah I wonder what my friends would say if they could see me now. But I'm coming home, I'm coming home, tell the world that I'm coming home. Let the sun beat down upon my face, stars to fill my dreams. I'm coming home, I'm coming home, tell the world that I'm coming home."
The Paper Kites,Bloom,2010,folk,"Sweetheart, I was wrong to try and make you be like me, I can't deny the way that you were born to be, In the morning light, the city wakes although I know you never sleep, The gentle pull and then the sudden shock, Oh, the misery, the misery, the misery of it all, I buried you beneath the garden stones that weep, The flowers bloom like madness in the spring, I feel you in the rustling of my sheets, And I know you're in the arms of someone else, It's a cruel, cruel summer leaving like a fawn, Oh, the misery, the misery, the misery of it all, And I would beg for you to stay, but you've already gone, I feel you in the beating of my heart, And I know you're in the arms of someone else, It's a cruel, cruel summer leaving like a fawn, Oh, the misery, the misery, the misery of it all, And I would beg for you to stay, but you've already gone, I feel you in the beating of my heart, And I know you're in the arms of someone else, It's a cruel, cruel summer leaving like a fawn, Oh, the misery, the misery, the misery of it all, And I would beg for you to stay, but you've already gone."
Lord Huron,The Night We Met,2015,folk,"I am not the only traveler who has not repaid his debt; I've been trying to make amends; But darkness closes in; And I have no friend; And no one to depend on; You go your way and I'll go mine; The night we met; I had all and then most of you; Some and now none of you; Take me back to the night we met; I don't know what I'm supposed to do; Haunted by the ghost of you; Oh, take me back to the night we met; 1  When the night was full of terrors; And your eyes were filled with 2  light; And you held me like a lover; I didn't know I'd meet you there; By the old pine tree where the ocean ends;"
The Head and the Heart,Rivers and Roads,2011,folk,"he says Wake up, it's no use pretending I'll keep stealing, breathing her Birds are leaving over autumn's ending One of us will die inside these arms Eyes wide open Naked as we came One will spread our Ashes 'round the yard She says, If I leave before you, darling Don't you waste me in the ground I lay smiling like our sleeping children"
Angus & Julia Stone,Big Jet Plane,2010,folk,"She said hello to me on the plane, and though I never thought I'd see her again, I knew that very moment I'd been changed, all my running 'round, I'd finally tamed. I'm gonna take you for a ride in a big jet plane, gonna take you all around the world. I'm gonna take you for a ride in a big jet plane, can't you feel my love surround? She said goodbye to me on the ground, and though I never thought I'd see her around, I knew that very moment I'd been found, all my running 'round, I'd finally slowed down."
Ray LaMontagne,Trouble,2004,folk,"Trouble, trouble, trouble been doggin' my soul, Lord it's been doggin' my soul; I was born under a bad sign, been down since I was born; Trouble, trouble, trouble been doggin' my soul; Seems like trouble gonna follow me wherever I go; I've been walkin' down this dusty road for what seems like years; And the sun beatin' down on my weary head, fillin' my eyes with tears; Trouble, trouble, trouble been doggin' my soul; Seems like trouble gonna follow me wherever I go; Well I'm gonna leave this town, gonna leave it behind; Gonna find myself a new place where peace of mind I'll find; Trouble, trouble, trouble been doggin' my soul; But peace of mind is what I need to make me whole."
Norah Jones,Don't Know Why,2002,folk,"I waited 'til I saw the sun, I don't know why I didn't come, I left you by the side of the road, I don't know why I didn't phone, I don't know why I didn't stay, I don't know why, you went away, I don't know, I don't know, I waited 'til I saw the light, I don't know why I didn't fight, I felt so unsure as I took your hand, and led you from the table, I said that everything was alright, I don't know why I didn't cry, I don't know why I didn't say goodbye, I don't know"
Amos Lee,Arms of a Woman,2005,folk,"She said, It's cold outside, can I borrow your coat? I said, Yeah, sure, anything, to keep her afloat. She said, I'm tired of walking, can I rest my head? I said, There's room here beside me, in my single bed. And I've been lost before, but never like this, in the arms of a woman. She said, I'm hungry now, is there anything to eat? I said, There's coffee and crackers, not much of a treat. She said, I'm thirsty now, is there anything to drink? I said, There's water from the faucet, what do you think? And I've been weak before, but never like this, in the arms of a woman. She said, The night is long, will you keep me warm? I said, Yeah, sure, anything, to weather the storm. She said, My heart is broken, can you make it mend? I said, I'll do what I can, be a friend 'til the end. And I've been scared before, but never like this, in the arms of a woman. In the arms of a woman."
Josh Ritter,Girl in the War,2006,folk,"Well, I don't know where she came from, or what she's done with her past, but I can see it in her eyes, she's running just as fast as she can."
The Avett Brothers,I and Love and You,2009,folk,"Load the car and write the note Grab your bag and grab your coat Tell the ones that need to know We are headed north One foot in and one foot back It don't pay to live like that So I cut the ties and I jumped the tracks For never to return Oh Brooklyn, Brooklyn, take me in Are you aware the shape I'm in? My hands, they shake, my head, it spins Oh Brooklyn, Brooklyn, take me in When at first I learned to speak I used all my words to fight With him and her and you and me Oh, but it's just a waste of time It's such a waste of time That woman she's got eyes that shine Like a pair of stolen polished dimes She asked to dance, I said, It's fine I'll see you in the morning time Oh Brooklyn, Brooklyn, take me in Are you aware the shape I'm in? My hands, they shake, my head, it spins Oh Brooklyn, Brooklyn, take me in Three words that became hard to say I and love and you What you were then, I am today Look at the things I do Oh Brooklyn, Brooklyn, take me in Are you aware the shape I'm in? My hands, they shake, my head, it spins Oh Brooklyn, Brooklyn, take me in Brooklyn, Brooklyn, take me in Are you aware the shape I'm in? (Oh) My hands, they shake, my head, it spins (Spins) Oh Brooklyn, Brooklyn, take me in Dumbed down and numbed by time and age Your dreams the catch, the world the cage The highway sets the traveler's stage All exits look the same Three words that became hard to say I and love and you"
The Civil Wars,Poison & Wine,2009,folk,"You only know what I want to let you see, And you only know what I want you to know; I don't even know myself at all, And I thought you did. And what is it that you wanted to take from me?, Why couldn't you ask? Why couldn't you just ask me?; What is it that you wanted to take from me?, Why couldn't you ask? Why couldn't you just ask? Oh, I wish you'd let me know, Oh, I wish you'd let me know. I am yours, I am yours; The only thing I ever wanted was you, The only thing I ever needed was you. So tell me that you want me, And tell me that you need me; Tell me that you love me."
The Weepies,World Spins Madly On,2006,folk,"She is lying in the sun, dreaming about the world to come, and I am lying next to her, thinking about where we were. The world spins madly on, it feels like it's been years. Something changed in me, something died in me. The world spins madly on. She is talking in her sleep, dreaming about the love we keep, and I am listening to her breathe, thinking about what we need. The world spins madly on, it feels like it's been years. Something stayed the same, something died away. The world spins madly on. She is waking up now, looking at me with her drowsy eyes, and I am wondering if she knows, that the world spins madly on. The world spins madly on, it feels like it's been years. Something went away, something's here to stay. The world spins madly on."
Iron & Wine,"Flightless Bird, American Mouth",2007,folk,"I was a quick wet boy Diving too deep for coins All of your street light eyes Wide on my plastic toys Then when the cops closed the fair I cut my long baby hair Stole me a dog-eared map And called for you everywhere Have I found you? Flightless bird Jealous, weeping Or lost you? American mouth Big pill looming Now I'm a fat house cat Nursing my sore blunt tongue Watching the warm poison rats Curl through the wide fence cracks Pissing on magazine photos Those fishing lures Thrown in the cold and clean Blood of Christ mountain stream Have I found you? Flightless bird Grounded, bleeding Or lost you? American mouth Big pill, stuck going down"
Damien Rice,9 Crimes,2006,folk,"She moves through the fair and the wild flowers among us pick them every one, I'm going to tell you all my dreams, I'm going to lay them at your feet, and you will walk on by, Oh, how can you stand there so cold?, You can't be the one for me, You cry out for him, and I'm just a ghost, I'm just a ghost, and if I never see you again that's alright, that's alright, you've got your demons, and I've got mine, You cry out for him, and I'm just a ghost, I'm just a ghost, and if I never see you again that's alright, that's alright, you've got your demons, and I've got mine, You cry out for him, and I'm just a ghost, I'm just a ghost, and if I never see you again that's alright, that's alright, you've got your demons, and I've got mine."
Sufjan Stevens,Casimir Pulaski Day,2005,folk,"and all the kids from Illinois with their funny little ways, their temper and their games, their goodbyes and their graves, while the flowers bloom as they are told, and they bloom so bright and bold, and they bloom so proud and cold, and some are long gone before they're even old, and the morning light in Stevensville, it did not seem like Easter's with the daffodils and the fields on the hill, and your brother holds your hand, but you hardly know him now, and you hardly know him now, but you hardly know him now, oh, I can hardly say anything at all, and I'll remember that day, standing at the lake, and released in the breath and the light, and the love that remains for our lives, as my little brother came back from the dead, as my little brother came back from the dead, as my little brother came back from the dead, oh, I can hardly say anything at all, and he takes and he takes and he takes, and he doesn't understand why the robin sings, and he takes and he takes and he takes, and he doesn't understand at all, and I'll remember that winter when I learned to play guitar, and all the things that it would say, and somehow learn to play it anyway, and I'll remember the car rides, and the time you ran away, and the time you hit my brother with a shovel in the snow, and in the morning in the winter shadows the frost it holds a bitter gloom, and today the sky is overcast, and though the bars are closing fast, I've got time for one more drink to think, and it was the last time I would see him alive, the hospital asked for twenty thousand, and somehow the bills got paid, and somehow the bills got paid, oh, I can hardly say anything at all, and now the room is quiet, and my brother's doing fine, and I don't know what to say about it, except that he gets a little bit shy about it, and he gets a little bit lost sometimes, and he gets a little bit lost sometimes, oh, I can hardly say anything at all, and I'll remember the way you held your head, and all the things that you confessed to me, and all the things that you confessed to me, oh, I can hardly say anything at all, and we were in the back seat, headed for the bridge, and I never even saw you cry, and I never even saw you cry, oh, I can hardly say anything at all, and when you lifted up your shirt, I almost didn't notice all the color running out, the color running out, oh, I can hardly say anything at all, and with my face in my hands, I cried, oh, Lord, take me now, oh, Lord, take me now, oh, Lord, take me now, oh, I can hardly say anything at all, and I'll be quiet now, and I'll be quiet now, and I'll be quiet now, oh, I can hardly say anything at all"
Bon Iver,Re: Stacks,2007,folk,"This my excavation and today is kumran Everything that happens is from now on This is pouring rain This is paralyzed I keep throwing it down two-hundred at a time It's hard to find it when you knew it When your money's gone And you're drunk as hell On your back with your racks as the stacks are your load In the back and the racks and the stacks of your load In the back with your racks and you're un-stacking your load Well I've been twisting to the sun and the moon I needed to replace The fountain in the front yard is rusted out All my love was down In a frozen ground There's a black crow sitting across from me His wiry legs are crossed He is dangling my keys, he even fakes a toss Whatever could it be That has brought me to this loss? On your back with your racks as the stacks are your load In the back and the racks and the stacks of your load In the back with your racks and you're un-stacking your load This is not the sound of a new man or crispy realization It's the sound of the unlocking and the lift away Your love will be Safe with me"
Fleet Foxes,Ragged Wood,2008,folk,"I'm on my way, I came to see, all that you are and all you've been is why I'm here today, I'm on my way, I came to know, all that you hide and all you show is why I left back home, oh, oh, oh, oh, I'm on my way, I came to learn, all that you give and all you yearn is why I came along, oh, oh, oh, oh, I'm on my way, I came to stay, all that you fight and all you say is why I know you're strong, oh, oh, oh, oh, ragged wood, ragged wood, ragged wood, ragged wood."
José González,Crosses,2003,folk,"Feathers on the floor, silent movie reels, the door half open, summer is appealing, the light, a shade of grey, the shapes are undefined, like feelings you can't name, the air is thick and kind, and you're here by my side, and the crosses in your eyes, turn slowly into mine, and the crosses in your eyes, turn slowly into mine, and the crosses in your eyes"
The Tallest Man on Earth,King of Spain,2010,folk,"Well I was in love with a girl in the summertime, she was sweeter than a lemon and twice as inclined, to laugh until we cried, but then the summer died, and she went back to school in the fall. Now I'm alone in the winter and the snow is on the ground, but I keep her photograph where it can be found, and I kiss it every night, and I pretend that she's in sight, and that she'll be back to me in the spring. Oh my love, don't you know that I'm the king of Spain?, and I'll come sailing 'cross the sea to claim you once again, and we'll build a little house on a hill, and we'll watch the world go by, and we'll be happy as can be, just you and I. Well I was in love with a girl in the springtime, she was brighter than the morning and twice as inclined, to sing until we slept, but then the springtime crept, away and she went back to work in the fall. Now I'm alone in the summer and the sun is in the sky, but I keep her memory where it can't die, and I dream of her at night, and I pretend that she's in sight, and that she'll be back to me in the fall. Oh my love, don't you know that I'm the king of Spain?, and I'll come sailing 'cross the sea to claim you once again, and we'll build a little house on a hill, and we'll watch the world go by, and we'll be happy as can be, just you and I. Well I was in love with a girl in the autumn time, she was warmer than the fire and twice as inclined, to dance until we dropped, but then the autumn stopped, and she went back to her home in the fall. Now I'm alone in the springtime and the birds are in the air, but I keep her letter where it says she'll be there, and I read it every day, and I pretend that she's on her way, and that she'll be back to me in the summer. Oh my love, don't you know that I'm the king of Spain?, and I'll come sailing 'cross the sea to claim you once again, and we'll build a little house on a hill, and we'll watch the world go by, and we'll be happy as can be, just you and I. Well I was in love with a girl in the wintertime, she was colder than the ice and twice as inclined, to cry until we froze, but then the winter goes, away and she went back to her love in the spring. Now I'm alone in the autumn and the leaves are on the ground, but I keep her spirit where it can't be drowned, and I feel her every night, and I pretend that she's in sight, and that she'll be back to me in the winter. Oh my love, don't you know that I'm the king of Spain?, and I'll come sailing 'cross the sea to claim you once again, and we'll build a little house on a hill, and we'll watch the world go by, and we'll be happy as can be, just you and I."
Laura Marling,Sophia,2011,folk,"Oh, I have been wandering Where I have been pondering Where I've been lately is no concern of yours Who's been touching my skin? Who have I been letting? Shy and tired-eyed am I today I'm wounded by dust Sometimes I sit, sometimes I stare Sometimes they look and sometimes I don't care Rarely I weep, sometimes I must I'm wounded by dust When the bell tolls, when the bell gon' chime You'd better call for your woman up high When the bell tolls for your last day You'll be getting down on your knees to pray I'm a good woman and I never did say What ever it was that you did that day Now, I'm not a woman to go and place blame But you said that it was coming on Judgment Day Now when the bell tolls, when the bell gon' chime You'd better call for your woman up high And when the bell tolls for your last day You'll be getting down on your knees to pray I'm a good woman and I never did say What ever it was that you did that day I'm not a woman to go and place blame But you said that it was coming on Judgment Day Oh, Sophia I'm wounded by dust Oh, Sophia"
The Lumineers,Cleopatra,2016,folk,"I was Cleopatra, I was young and an actress When you knelt by my mattress, and asked for my hand But I was sad you asked it, as I laid in a black dress With my father in a casket, I had no plans, yeah And I left the footprints, the mud stain on the carpet And it hardened like my heart did when you left town But I must admit it, that I would marry you in an instant Damn your wife, I'd be your mistress just to have you around But I was late for this, late for that, late for the love of my life And when I die alone, when I die alone, die I'll be on time, ah, yeah While the church discouraged, any lust that burned within me Yes my flesh, it was my currency, but I held true So I drive a taxi, and the traffic distracts me From the strangers in my backseat, they remind me of you But I was late for this, late for that, late for the love of my life And when I die alone, when I die alone, when I die I'll be on time And the only gifts from my Lord were a birth and a divorce But I've read this script and the costume fits, so I'll play my part I was Cleopatra, I was taller than the rafters But that's all in the past love, gone with the wind Now a nurse in white shoes leads me back to my guestroom It's a bed and a bathroom And a place for the end I won't be late for this, late for that, late for the love of my life And when I die alone, when I die alone, die I'll be on time, ah"
Of Monsters and Men,King and Lionheart,2011,folk,"Taking over this town, they should worry But these problems aside, I think I taught you well That we won't run, and we won't run, and we won't run And in the winter night sky, ships are sailing Looking down on these bright blue city lights And they won't wait, and they won't wait, and they won't wait We're here to stay, we're here to stay, we're here to stay Howling ghosts, they reappear In mountains that are stacked with fear But you're a king and I'm a lionheart A lionheart His crown lit up the way as we moved slowly Past the wondering eyes of the ones that were left behind Though far away, though far away, though far away We're still the same, we're still the same, we're still the same Howling ghosts, they reappear In mountains that are stacked with fear But you're a king and I'm a lionheart And in the sea that's painted black Creatures lurk below the deck But you're a king and I'm a lionheart And as the world comes to an end I'll be here to hold your hand 'Cause you're my king and I'm your lionheart"
Mumford & Sons,The Cave,2009,folk,"It's empty in the valley of your heart The sun, it rises slowly as you walk Away from all the fears And all the faults you've left behind The harvest left no food for you to eat You cannibal, you meat-eater, you see But I have seen the same I know the shame in your defeat But I will hold on hope And I won't let you choke On the noose around your neck And I'll find strength in pain And I will change my ways I'll know my name as it's called again 'Cause I have other things to fill my time You take what is yours and I'll take mine Now let me at the truth Which will refresh my broken mind So tie me to a post and block my ears I can see widows and orphans through my tears I know my call despite my faults And despite my growing fears So come out of your cave walking on your hands And see the world hanging upside down You can understand dependence When you know the maker's land So make your siren's call And sing all you want I will not hear what you have to say 'Cause I need freedom now And I need to know how To live my life as it's meant to be And I will hold on hope And I won't let you choke On the noose around your neck And I'll find strength in pain And I will change my ways I'll know my name as it's called again"
Vance Joy,Mess Is Mine,2014,folk,"Talking like we used to do It was always me and you Shaping up and shipping out Check me in and check me out Do you like walking in the rain? When you think of love, do you think of pain? You can tell me what you see I will choose what I believe Well, hold on, darling This body is yours This body is yours and mine Well, hold on, my darling This mess was yours Now your mess is mine Your mess is mine See you in the marketplace Walking around at 8 AM I got two hours before my flight Luck be on my side tonight You're the reason that I feel so strong The reason that I'm hanging on You know you gave me all that time Well, did I give enough of mine? Hold on, darling This body is yours This body is yours and mine Well, hold on, my darling This mess was yours Now your mess is mine Your mess is mine Your mess is mine Bring me to your house and tell me Sorry for the mess, hey, I don't mind You're talking in your sleep, out of time Well, you still make sense to me, your mess is mine"
First Aid Kit,My Silver Lining,2014,folk,"I don't want to wait anymore I'm tired of looking for answers Take me some place where there's music and there's laughter I don't know if I'm scared of dying But I'm scared of living too fast, too slow Regret, remorse, hold on, oh no I've got to go There’s no starting over No new beginnings time races on And you've just gotta keep on keeping on Gotta keep on going Looking straight out on the road Can't worry 'bout what's behind you Or what's coming for you further up the road I try not to hold on to what is gone I try to do right what is wrong I try to keep on keeping on Yeah, I just keep on keeping on I hear a voice calling Calling out for me These shackles I've made in an attempt to be free Be it for reason, be it for love I won't take the easy road I've woken up in a hotel room My worries as big as the moon Having no idea who or what or where I am Something good comes with the bad A song's never just sad There's hope, there's a silver lining Show me my silver lining Show me my silver lining I hear a voice calling Calling out for me These shackles I've made in an attempt to be free Be it for reason, be it for love I won't take the easy road I won't take the easy road The easy road, the easy road, oh-oh! I won't take the easy road The easy road, the easy road, oh-oh!"
Gregory Alan Isakov,Amsterdam,2013,folk,"If I was a child, I'd live in a tree And I'd let you climb up and visit me And on Sundays we'd go for a drive in the car We'd go to the place where they keep the broken guitars If I was a river, I swear I would flow To your front door, oh, just to see you go And I'd knock on your window and ask you to come To the banks and the willows in sweet Amsterdam And if I was a painter, I'd paint you in blue And I'd frame you with mountains, I'd frame you with truth And I'd hang you in halls, every eye would behold You'd be locked up in canvas, you'd never grow old And if I was a sailor, I'd sail 'til I slept I'd count every star and I'd visit the West But since I'm a singer, I'll sing you this song And I'll try to be truthful, but maybe I'm wrong"
Brandi Carlile,The Story,2007,folk,"All of these lines across my face Tell you the story of who I am So many stories of where I've been And how I got to where I am  But these stories don't mean when you've got no one to tell them to It's true, I was made for you     I climbed across the mountain tops Swam all across the ocean blue I crossed all the lines and I broke all the rules But baby, I broke them all for you Oh, 'cause I was made for you    Oh, you see the smile that's on my face? Well, it's hiding the place where my heart breaks in two See, I was made for you And baby, you were made for me All of the calluses across this heart Show you the seasons of my life I spent all my time building up these walls Just to watch them crumble with you Oh, I was made for you And you see the smile that's on my face?"
Phoebe Bridgers,Kyoto,2020,folk,"Woke up to a screen With the memories of a dream It's a hotel in Kyoto I'm gonna pay a fortune for this I go to the museum I give them my money They give me a receipt For my trouble I wanted to see the world through their eyes Until it happened, then I changed my mind I dreamt about you for twenty-nine years Before I saw you I bought a day pass for the zoo And gawked at the animals I wanted to see the world through their eyes Until it happened, then I changed my mind You called me from Kyoto You said you were doing coke You're on a government plane I don't understand the joke I wanted to see the world through your eyes Until it happened, then I changed my mind You called me from Kyoto You said you were doing coke You're on a government plane I don't understand the joke I wanted to see the world"
The Milk Carton Kids,Snake Eyes,2015,folk,"It's a long way down, it's a long way down From the top of the world to the bottom of the ground It's a long way down, it's a long way down From the top of the world to the bottom of the ground You can't see the sky, you can't see the stars When you're lost in the lights of the boulevard You can't see the sky, you can't see the stars When you're lost in the lights of the boulevard You can't hear the wind, you can't hear the rain When you're banging your head on the window pane You can't hear the wind, you can't hear the rain When you're banging your head on the window pane It's a long way down, it's a long way down From the top of the world to the bottom of the ground It's a long way down, it's a long way down From the top of the world to the bottom of the ground You can't hear the truth, you can't hear the lies When you're talking in tongues to the snake eyes You can't hear the truth, you can't hear the lies When you're talking in tongues to the snake eyes You can't feel the love, you can't feel the hate When you're standing alone in the empty state You can't feel the love, you can't feel the hate When you're standing alone in the empty state It's a long way down, it's a long way down From the top of the world to the bottom of the ground It's a long way down, it's a long way down From the top of the world to the bottom of the ground"
Mandolin Orange,Hey Stranger,2019,folk,"I've been walking through the valley I've been sleeping in the shade I've been waiting for a moment When I can get away I've been dreaming of the mountain I've been listening to the rain I've been thinking of the moment When I can see your face again Hey stranger, it's been so long I've been waiting for a sign Hey stranger, it's been so long I've been waiting for a sign I've been searching for a reason I've been looking for a light I've been thinking of the moment When I can make it right I've been running from the shadows I've been hiding from the pain I've been thinking of the moment When I can see your face again I've been walking through the valley I've been sleeping in the shade I've been waiting for a moment When I can get away"
The Oh Hellos,"Soldier, Poet, King",2012,folk,"There will come a soldier who carries a mighty sword He will tear your city down, Oh-lei, oh-lai, oh, Lord Oh-lei, oh-lai, oh-lei, oh, Lord, he will tear your city down, Oh-lei, oh-lai, oh, Lord There will come a poet whose weapon is His word He will slay you with His tongue, oh-lei, oh-lai, oh, Lord Oh-lei, oh-lai, oh-lei, oh, Lord, he will slay you with His tongue, oh-lei, oh-lai, oh, Lord There will come a ruler whose brow is laid in thorn Smeared with oil like David's boy, oh-lei, oh-lai, oh, Lord"
